Product Name,Price,Rating
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,13190,4.4
SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,24890,4.4
SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,24490,4.4
Godrej 185 L Direct Cool Single Door 2 Star Refrigerator,12190,4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,16690,4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,16690,4.4
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,12790,4.4
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,19990,4.4
SAMSUNG 198 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digi Touch Cool,16490,4.4
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,18090,4.4
Whirlpool 240 L Frost Free Triple Door Refrigerator,24990,4.4
Godrej 185 L Direct Cool Single Door 4 Star Refrigerator,14690,4.4
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,24990,4.4
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator,17190,4.4
LG 260 L Frost Free Double Door Top Mount 3 Star Refrigerator  with Smart Inverter,26290,4.4
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Auto Defrost,17990,4.4
SAMSUNG 253 l Frost Free Double Door 2 Star Refrigerator,22190,4.4
Haier 256 L Frost Free Double Door Bottom Mount 2 Star Convertible Refrigerator,22990,4.4
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,18590,4.4
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,23190,4.4
Haier 195 L Direct Cool Single Door 4 Star Refrigerator,14690,4.4
SAMSUNG 253 L Frost Free Double Door 2 Star Convertible Refrigerator,23990,4.4
CANDY 190 L Direct Cool Single Door 2 Star Refrigerator,10690,4.4
Godrej 236 L Frost Free Double Door 2 Star Refrigerator,20990,4.4
